"frame1","frame2","distance"
0,0,0
0,1,15
0,2,30
0,3,45
0,4,60
0,5,75
0,6,90
0,7,105
0,8,120
0,9,135
0,10,150
0,11,165
0,12,180
0,13,195
0,14,210
0,15,225
0,16,240
0,17,255
0,18,270
0,19,285
0,20,300
0,21,315
0,22,330
0,23,345
0,24,360
0,25,375
0,26,390
0,27,405
0,28,420
0,29,435
0,30,450
0,31,465
0,32,475.6574397610112
0,33,476.68123520860354
0,34,478.17360864020924
0,35,480.13019067748695
0,36,482.5453346577915
0,37,485.41219597368996
0,38,488.72282533149604
0,39,492.4682730897494
0,40,496.63870167356066
0,41,501.22350304031033
0,42,506.2114182829147
0,43,511.5906566777779
0,44,517.3490117899134
0,45,523.4739726099092
0,46,529.9528280894442
0,47,536.7727638395972
0,48,543.9209501388966
1,0,15
1,1,0
1,2,15
1,3,30
1,4,45
1,5,60
1,6,75
1,7,90
1,8,105
1,9,120
1,10,135
1,11,150
1,12,165
1,13,180
1,14,195
1,15,210
1,16,225
1,17,240
1,18,255
1,19,270
1,20,285
1,21,300
1,22,315
1,23,330
1,24,345
1,25,360
1,26,375
1,27,390
1,28,405
1,29,420
1,30,435
1,31,450
1,32,460.6788469204984
1,33,461.7358552246078
1,34,463.2763753959401
1,35,465.29560496527364
1,36,467.78734484806233
1,37,470.7440918375928
1,38,474.157146946031
1,39,478.0167361086848
1,40,482.3121395942673
1,41,487.03182647543684
1,42,492.16359068911225
1,43,497.69468552517213
1,44,503.6119537898202
1,45,509.9019513592785
1,46,516.5510623355642
1,47,523.545604508337
1,48,530.8719242905958
2,0,30
2,1,15
2,2,0
2,3,15
2,4,30
2,5,45
2,6,60
2,7,75
2,8,90
2,9,105
2,10,120
2,11,135
2,12,150
2,13,165
2,14,180
2,15,195
2,16,210
2,17,225
2,18,240
2,19,255
2,20,270
2,21,285
2,22,300
2,23,315
2,24,330
2,25,345
2,26,360
2,27,375
2,28,390
2,29,405
2,30,420
2,31,435
2,32,445.70169396133105
2,33,446.79413604030213
2,34,448.3859944289072
2,35,450.4719747109691
2,36,453.0452516029718
2,37,456.0975772792484
2,38,459.6194077712559
2,39,463.6000431406365
2,40,468.0277769534625
2,41,472.8900506460249
2,42,478.17360864020924
2,43,483.86465049639656
2,44,489.9489769353539
2,45,496.4121271685453
2,46,503.23950560344525
2,47,510.4164965986111
2,48,517.9285665031424
3,0,45
3,1,30
3,2,15
3,3,0
3,4,15
3,5,30
3,6,45
3,7,60
3,8,75
3,9,90
3,10,105
3,11,120
3,12,135
3,13,150
3,14,165
3,15,180
3,16,195
3,17,210
3,18,225
3,19,240
3,20,255
3,21,270
3,22,285
3,23,300
3,24,315
3,25,330
3,26,345
3,27,360
3,28,375
3,29,390
3,30,405
3,31,420
3,32,430.7261310856354
3,33,431.8564576337837
3,34,433.50317184537414
3,35,435.6604182158393
3,36,438.32065887886233
3,37,441.47480109288233
3,38,445.1123453691214
3,39,449.22154890432404
3,40,453.7895988230669
3,41,458.8027898781785
3,42,464.24670165764235
3,43,470.1063709417263
3,44,476.366455578056
3,45,483.01138702933287
3,46,490.02550954006466
3,47,497.3932046178355
3,48,505.0990001969911
4,0,60
4,1,45
4,2,30
4,3,15
4,4,0
4,5,15
4,6,30
4,7,45
4,8,60
4,9,75
4,10,90
4,11,105
4,12,120
4,13,135
4,14,150
4,15,165
4,16,180
4,17,195
4,18,210
4,19,225
4,20,240
4,21,255
4,22,270
4,23,285
4,24,300
4,25,315
4,26,330
4,27,345
4,28,360
4,29,375
4,30,390
4,31,405
4,32,415.7523301197481
4,33,416.92325432865937
4,34,418.6287137786896
4,35,420.86221023037933
4,36,423.6153915995027
4,37,426.8782027698299
4,38,430.6390600026895
4,39,434.8850422812907
4,40,439.6020928066653
4,41,444.7752241301217
4,42,450.3887209955418
4,43,456.4263357870578
4,44,462.87147244132467
4,45,469.7073557013984
4,46,476.9171835864168
4,47,484.48426187029025
4,48,492.3921201644072
5,0,75
5,1,60
5,2,45
5,3,30
5,4,15
5,5,0
5,6,15
5,7,30
5,8,45
5,9,60
5,10,75
5,11,90
5,12,105
5,13,120
5,14,135
5,15,150
5,16,165
5,17,180
5,18,195
5,19,210
5,20,225
5,21,240
5,22,255
5,23,270
5,24,285
5,25,300
5,26,315
5,27,330
5,28,345
5,29,360
5,30,375
5,31,390
5,32,400.7804885470349
5,33,401.9950248448356
5,34,403.7635446644484
5,35,406.07881008493905
5,36,408.93153461184676
5,37,412.31056256176606
5,38,416.20307543313515
5,39,420.5948168962618
5,40,425.47032799009617
5,41,430.8131845707603
5,42,436.6062299143245
5,43,442.83179650969055
5,44,449.47191235938203
5,45,456.50848842053307
5,46,463.9234850705448
5,47,471.6990566028302
5,48,479.8176737053357
6,0,90
6,1,75
6,2,60
6,3,45
6,4,30
6,5,15
6,6,0
6,7,15
6,8,30
6,9,45
6,10,60
6,11,75
6,12,90
6,13,105
6,14,120
6,15,135
6,16,150
6,17,165
6,18,180
6,19,195
6,20,210
6,21,225
6,22,240
6,23,255
6,24,270
6,25,285
6,26,300
6,27,315
6,28,330
6,29,345
6,30,360
6,31,375
6,32,385.8108344772085
6,33,387.07234465923807
6,34,388.90872965260115
6,35,391.3118960624632
6,36,394.27148007432646
6,37,397.77506206397607
6,38,401.8084120572888
6,39,406.3557554655772
6,40,411.40004861448426
6,41,416.92325432865937
6,42,422.90660907581
6,43,429.33087473416117
6,44,436.1765697512878
6,45,443.42417615642023
6,46,451.0543204537564
6,47,459.04792778096714
6,48,467.38634982207174
7,0,105
7,1,90
7,2,75
7,3,60
7,4,45
7,5,30
7,6,15
7,7,0
7,8,15
7,9,30
7,10,45
7,11,60
7,12,75
7,13,90
7,14,105
7,15,120
7,16,135
7,17,150
7,18,165
7,19,180
7,20,195
7,21,210
7,22,225
7,23,240
7,24,255
7,25,270
7,26,285
7,27,300
7,28,315
7,29,330
7,30,345
7,31,360
7,32,370.84363281577316
7,33,372.1558813185679
7,34,374.0655022853618
7,35,376.5634076752546
7,36,379.63798545456433
7,37,383.275357934736
7,38,387.45967532118743
7,39,392.17343102255154
7,40,397.3977856002723
7,41,403.11288741492746
7,42,409.2981798151563
7,43,415.9326868617084
7,44,422.9952718411874
7,45,430.4648650006177
7,46,438.32065887886233
7,47,446.5422712353221
7,48,455.1098768429444
8,0,120
8,1,105
8,2,90
8,3,75
8,4,60
8,5,45
8,6,30
8,7,15
8,8,0
8,9,15
8,10,30
8,11,45
8,12,60
8,13,75
8,14,90
